-1	-5	-5	-5	-5	-5	-5	-5	-5	-11	-5	-5	-5	-5	-5	-5	-5	-5	-2
-6	2	2	2	2	2	2	2	2	-6	2	2	2	2	2	2	2	2	-6
-6	3	-10	-8	2	-10	-5	-8	2	-9	2	-10	-5	-8	2	-10	-8	3	-6
-6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-6
-6	2	-10	-8	2	-7	2	-10	-5	-11	-5	-8	2	-7	2	-10	-8	2	-6
-6	2	2	2	2	-6	2	2	2	-6	2	2	2	-6	2	2	2	2	-6
-4	-5	-5	-2	2	-14	-5	-8	2	-9	2	-10	-5	-12	2	-1	-5	-5	-3
1	1	1	-6	2	-6	2	2	2	2	2	2	2	-6	2	-6	1	1	1
-10	-5	-5	-3	2	-9	2	-1	-8	1	-10	-2	2	-9	2	-4	-5	-5	-8
2	2	2	2	2	2	2	-6	1	1	1	-6	2	2	2	2	2	2	2
-10	-5	-5	-2	2	-7	2	-4	-5	-5	-5	-3	2	-7	2	-1	-5	-5	-8
1	1	1	-6	2	-6	2	2	2	2	2	2	2	-6	2	-6	1	1	1
-1	-5	-5	-3	2	-9	2	-10	-5	-11	-5	-8	2	-9	2	-4	-5	-5	-2
-6	2	2	2	2	2	2	2	2	-6	2	2	2	2	2	2	2	2	-6
-6	2	-10	-2	2	-10	-5	-8	2	-9	2	-10	-5	-8	2	-1	-8	2	-6
-6	3	2	-6	2	2	2	2	2	2	2	2	2	2	2	-6	2	3	-6
-14	-8	2	-9	2	-7	2	-10	-5	-11	-5	-8	2	-7	2	-9	2	-10	-12
-6	2	2	2	2	-6	2	2	2	-6	2	2	2	-6	2	2	2	2	-6
-6	2	-10	-5	-5	-13	-5	-8	2	-9	2	-10	-5	-13	-5	-5	-8	2	-6
-6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-6
-4	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3
-5	-3

